customer_id,age,gender,city,signup_days_ago,total_spend,avg_order_value,purchase_frequency,time_since_last_purchase,most_frequent_category,customer_support_calls,discount_usage_rate,device_type,preferred_purchase_time,email_open_rate,app_opens_last_30d,engagement_score
CUST_00039,69,Other,Columbus,1523,924.85,38.46,1.91,90,Home,1,0.09,Desktop,Morning,0.62,12,63.84
CUST_00040,20,Other,Dallas,1363,649.85,64.24,0.92,144,Sports,2,0.21,Mobile,Afternoon,0.67,14,38.78
CUST_00041,54,Female,Jacksonville,1045,277.53,77.52,1.39,170,Electronics,1,0.42,Mobile,Morning,0.82,8,22.02
CUST_00042,68,Other,San Diego,1744,0.78,56.45,2.2,100,Beauty,0,0.22,Desktop,Evening,0.6,6,48.64
CUST_00043,24,Other,Austin,33,663.57,84.86,1.31,48,Electronics,0,0.4,Desktop,Afternoon,0.85,11,62.79
CUST_00044,38,Female,Jacksonville,133,1055.93,71.99,2.23,3,Clothing,1,0.4,Desktop,Morning,0.54,15,77.43
CUST_00045,26,Male,San Diego,920,204.2,83.25,1.54,28,Clothing,2,0.12,Desktop,Evening,0.7,14,74.75
CUST_00046,56,Female,Charlotte,1727,632.9,52.77,2.15,161,Electronics,2,0.19,Desktop,Afternoon,0.52,9,25.5
CUST_00047,35,Female,San Antonio,975,32.03,49.6,2.67,136,Electronics,1,0.09,Desktop,Afternoon,0.7,13,50.1
CUST_00048,21,Female,Los Angeles,26,618.07,74.28,2.59,80,Beauty,0,0.17,Tablet,Evening,0.77,7,65.36
CUST_00049,42,Female,New York,1388,35.38,93.23,2.42,73,Electronics,0,0.25,Desktop,Morning,0.64,11,61.04
CUST_00050,31,Male,Charlotte,601,442.38,121.09,3.33,151,Home,1,0.54,Tablet,Evening,0.92,19,52.95
CUST_00051,67,Other,Los Angeles,1116,455.1,29.32,0.14,80,Sports,1,0.67,Mobile,Morning,0.6,10,43
CUST_00052,26,Female,Charlotte,545,179.88,70.07,1.97,107,Beauty,1,0.14,Tablet,Evening,0.7,8,45.71
CUST_00053,43,Male,Philadelphia,1262,41.21,86.07,2.78,169,Electronics,1,0.41,Tablet,Afternoon,0.79,15,32.82
CUST_00054,19,Other,Fort Worth,18,1491.26,84.13,-0.05,114,Home,0,0.3,Tablet,Morning,0.74,12,45.28
CUST_00055,37,Other,Los Angeles,1298,383.48,44.48,3.73,16,Electronics,2,0.37,Desktop,Morning,0.84,10,54.85
CUST_00056,45,Other,San Jose,934,433.46,56.83,1.7,89,Beauty,3,0.39,Mobile,Afternoon,0.67,13,38.89
CUST_00057,64,Female,Houston,289,477.28,74.65,1.32,47,Beauty,0,0.17,Mobile,Evening,0.53,11,49.92
CUST_00058,24,Female,Charlotte,1051,1108.42,142.09,2.77,112,Clothing,0,0.22,Mobile,Evening,0.73,12,61.81
CUST_00059,61,Other,San Jose,817,31.07,98.58,1.23,160,Clothing,1,0.08,Mobile,Evening,0.65,9,50.59
CUST_00060,25,Other,Chicago,1458,1118.81,83.76,3.35,37,Electronics,0,0.28,Mobile,Afternoon,0.94,8,71.62
CUST_00061,64,Other,Philadelphia,108,137.01,7.67,2.02,0,Sports,1,0.38,Mobile,Afternoon,0.66,13,54.63
CUST_00062,52,Other,Jacksonville,973,40.58,42.06,3.42,54,Home,0,0.16,Tablet,Morning,0.89,13,59.9
CUST_00063,31,Other,Jacksonville,948,535.4,44.28,3.23,137,Clothing,3,0.2,Mobile,Afternoon,0.78,5,41.73
CUST_00064,34,Other,Fort Worth,738,1885.6,83.95,2.12,115,Clothing,0,0.4,Desktop,Afternoon,0.87,12,63.18
CUST_00065,53,Male,Columbus,324,29.47,71.59,1.32,54,Sports,1,0.25,Desktop,Morning,0.87,11,64
CUST_00066,67,Other,San Diego,867,277.67,59.12,3.74,94,Beauty,0,0.25,Tablet,Morning,0.53,14,50.93
CUST_00067,57,Female,Austin,1555,377.28,83.36,0.48,124,Electronics,2,0.27,Mobile,Afternoon,0.88,5,28.15
CUST_00068,21,Female,Philadelphia,735,145.26,37.23,1.66,23,Electronics,1,0.49,Mobile,Evening,0.78,13,52.58
CUST_00069,19,Female,Los Angeles,793,2033.52,54.63,2.87,27,Home,2,0.26,Mobile,Evening,0.6,14,61.58
CUST_00070,23,Other,Phoenix,1128,512.17,73.35,0.53,91,Sports,1,0.45,Desktop,Evening,0.98,11,39.19
CUST_00071,59,Female,Austin,1356,930.07,121.73,0.78,107,Sports,0,0.17,Tablet,Afternoon,0.41,5,26.87
CUST_00072,21,Male,Fort Worth,1386,268.74,97.39,1.82,50,Sports,0,0.32,Desktop,Afternoon,0.82,10,40.78
CUST_00073,46,Other,Philadelphia,289,218.44,85.78,2.28,125,Beauty,1,0.27,Desktop,Morning,0.88,8,54.31
CUST_00074,35,Female,Dallas,1468,402.77,64.98,0.11,173,Sports,0,0.43,Desktop,Evening,0.85,13,34.46
CUST_00075,43,Male,Philadelphia,1061,285.71,74.55,3.13,156,Beauty,1,0.51,Tablet,Afternoon,0.84,10,35.6
CUST_00076,61,Male,San Jose,1372,627.54,105.4,1.85,146,Electronics,4,0.38,Desktop,Afternoon,0.48,14,32.79
CUST_00077,51,Female,Phoenix,892,154.5,120.64,2.71,92,Beauty,0,0.35,Tablet,Evening,0.81,8,42.05
CUST_00078,27,Male,New York,1780,298.55,69,1.25,122,Electronics,0,0.18,Desktop,Afternoon,0.45,12,49.33
CUST_00079,53,Female,San Jose,43,1127.53,86.27,1.62,4,Home,0,0.31,Tablet,Afternoon,0.79,6,58.69
CUST_00080,31,Male,Phoenix,1150,705.51,97.85,2.3,176,Sports,2,0.63,Mobile,Morning,0.5,11,33.14
CUST_00081,48,Other,Phoenix,9,92,85.22,2.16,91,Home,0,0.21,Mobile,Afternoon,0.36,16,33.17
CUST_00082,65,Other,Philadelphia,1550,1089.59,42.27,2.67,54,Sports,5,0.59,Mobile,Afternoon,0.36,12,39.56
CUST_00083,32,Other,San Antonio,1155,444.6,56.38,2.72,45,Home,1,0.74,Desktop,Morning,0.85,12,36.5
CUST_00084,25,Other,Fort Worth,1349,568.6,93.52,0.84,142,Clothing,4,0.26,Mobile,Evening,0.71,10,39.33
CUST_00085,31,Other,Fort Worth,184,174.25,60.91,2.19,166,Clothing,2,0.25,Tablet,Morning,0.55,9,15.37
CUST_00086,40,Female,Houston,1306,291.29,119.84,1.83,149,Beauty,2,0.29,Desktop,Morning,0.68,13,47.91
CUST_00087,57,Other,San Antonio,895,822.05,67.31,2.4,61,Home,0,0.44,Desktop,Morning,0.79,12,47.31
CUST_00088,38,Other,Phoenix,1077,200.74,41.65,1.68,73,Sports,2,0.22,Tablet,Morning,0.67,7,26.73
CUST_00089,33,Other,Philadelphia,1577,90.2,100.87,2.05,158,Electronics,1,0.37,Mobile,Evening,0.59,6,38.16
CUST_00090,62,Other,Houston,870,237.65,66,3.95,164,Beauty,2,0.29,Tablet,Afternoon,0.85,6,43.24
CUST_00091,35,Male,Jacksonville,533,35.87,67.98,0.82,150,Beauty,2,0.18,Mobile,Afternoon,0.44,15,23.75
CUST_00092,64,Other,San Diego,1401,632.67,96.7,1.55,131,Clothing,1,0.09,Mobile,Evening,0.86,8,43.01
CUST_00093,41,Other,Dallas,1319,79.94,50.24,-0.34,42,Home,0,0.42,Tablet,Afternoon,0.85,17,36.06
CUST_00094,43,Female,Los Angeles,1232,167.82,77.05,1.46,37,Home,2,0.23,Desktop,Evening,0.92,10,40.04
CUST_00095,42,Male,Jacksonville,1000,1064.66,44.72,0.89,142,Beauty,0,0.42,Tablet,Morning,0.6,7,32.31
CUST_00096,62,Female,Austin,663,388.81,76.9,3.95,10,Clothing,0,0.08,Desktop,Afternoon,0.6,8,65.18
CUST_00097,58,Other,Houston,1501,193.82,34.03,1.67,24,Electronics,0,0.13,Tablet,Morning,0.7,6,19.66
CUST_00098,46,Female,Austin,954,396.67,53.98,1.6,153,Clothing,1,0.54,Tablet,Morning,0.93,10,31.22
CUST_00099,32,Female,San Diego,69,123.13,97.46,2.65,38,Home,0,0.02,Tablet,Evening,0.74,9,60.11
CUST_00100,62,Other,San Diego,1461,12.75,107.43,0.93,55,Electronics,1,0.26,Mobile,Afternoon,0.44,12,40.19
CUST_00101,18,Male,Charlotte,301,462.83,52.88,2.77,178,Beauty,2,0.41,Desktop,Afternoon,0.94,9,33.29
CUST_00102,42,Male,Dallas,27,626.1,52.61,2.73,100,Electronics,2,0.15,Tablet,Morning,0.57,16,73.72
CUST_00103,24,Female,Chicago,1652,1059.22,77.56,3.57,99,Beauty,1,0.4,Desktop,Afternoon,0.81,8,48.98
CUST_00104,26,Other,New York,930,738.95,54.79,2.55,160,Clothing,0,0.2,Desktop,Evening,0.41,8,37.33
CUST_00105,41,Female,Dallas,654,1306.45,98.44,0.16,111,Electronics,0,0.27,Tablet,Morning,0.41,7,23.88
CUST_00106,18,Female,New York,553,2132.69,40.25,3.14,107,Sports,1,0.37,Tablet,Afternoon,0.91,10,100
CUST_00107,61,Female,Chicago,106,683.12,59.32,5.18,147,Home,1,0.23,Desktop,Morning,0.62,8,51.1
CUST_00108,25,Other,Chicago,586,1012.19,120.31,1.97,51,Beauty,0,0.48,Desktop,Evening,0.65,12,38.12
CUST_00109,41,Other,Dallas,572,560.02,84.45,2,33,Electronics,2,0.22,Desktop,Evening,0.58,6,41.47
CUST_00110,28,Male,Charlotte,810,93.73,89.61,1.51,44,Electronics,3,0.29,Desktop,Evening,0.28,11,30.75
CUST_00111,68,Other,New York,634,100.26,70.25,0.37,75,Sports,1,0.22,Tablet,Afternoon,0.65,12,33.96
CUST_00112,34,Female,San Antonio,1739,58.41,38.45,2.37,99,Clothing,3,0.06,Tablet,Morning,0.67,10,38.24
CUST_00113,25,Female,Los Angeles,1035,1432.13,113.72,1.45,3,Sports,1,0.66,Tablet,Evening,0.79,13,51.82
CUST_00114,52,Male,San Antonio,931,558.52,79.88,2.33,12,Electronics,0,0.33,Mobile,Morning,0.71,8,60.09
CUST_00115,52,Other,Charlotte,659,780.11,98.73,2.36,58,Home,0,0.3,Tablet,Afternoon,0.66,8,54.24
CUST_00116,50,Female,Charlotte,1240,201.1,68.15,3.9,66,Electronics,0,0.32,Tablet,Evening,0.55,9,43.87
CUST_00117,22,Male,New York,886,308.48,74.36,1.6,144,Electronics,0,0.08,Tablet,Evening,0.74,14,52.96
CUST_00118,59,Male,Fort Worth,321,20.3,65,0.76,121,Electronics,0,0.37,Desktop,Afternoon,0.62,10,35.28
CUST_00119,56,Female,San Jose,460,1099.15,80.15,2.28,44,Sports,0,0.36,Mobile,Evening,0.87,16,69.81
CUST_00120,58,Female,San Jose,1550,958.67,63.23,1.9,46,Sports,1,0.24,Mobile,Evening,0.75,12,75.39
CUST_00121,45,Other,San Diego,579,768.12,53.44,3.87,95,Beauty,0,0.61,Desktop,Evening,0.59,9,41.58
CUST_00122,24,Male,San Jose,1716,30.04,70.05,2.83,111,Beauty,1,0.07,Desktop,Evening,0.83,9,46.14
CUST_00123,26,Female,Fort Worth,877,95.73,88.2,1.87,153,Beauty,2,0.41,Tablet,Afternoon,0.56,11,22.31
CUST_00124,25,Male,San Jose,754,203.36,104.09,3.02,158,Electronics,1,0.14,Mobile,Morning,0.61,14,37.95
CUST_00125,29,Other,Los Angeles,160,152.63,41.31,3.12,111,Beauty,1,0.47,Mobile,Morning,0.68,9,30.73
CUST_00126,51,Female,Chicago,464,911.5,97.17,1.06,123,Beauty,0,0.21,Tablet,Evening,0.76,7,40.25
CUST_00127,50,Other,Columbus,998,108.35,57.54,2.45,158,Clothing,0,0.56,Mobile,Evening,0.67,12,32.13
CUST_00128,65,Male,San Diego,1546,379.78,49.81,4.22,59,Sports,1,0.09,Desktop,Morning,0.49,12,65.47
CUST_00129,40,Other,Chicago,1660,423.59,51.18,0.51,0,Beauty,0,0.32,Mobile,Afternoon,0.89,9,42.64
CUST_00130,41,Other,New York,1297,276.7,140.1,1.25,173,Sports,2,0.1,Desktop,Evening,0.58,11,25.46
CUST_00131,54,Male,Dallas,241,137.67,93.61,1.8,33,Home,2,0.05,Mobile,Evening,0.88,7,54.16
CUST_00132,52,Other,San Diego,936,1613.13,46.21,2.52,93,Clothing,2,0.58,Mobile,Morning,0.71,9,41.32
CUST_00133,61,Male,Charlotte,964,266.71,61.19,2.33,40,Home,1,0.28,Mobile,Evening,0.85,9,52.39
CUST_00134,57,Female,Houston,959,649.71,41.07,2.21,50,Sports,0,0.15,Desktop,Morning,0.45,15,57.82
CUST_00135,39,Male,San Diego,1679,101.7,41.9,1.8,4,Sports,0,0.07,Mobile,Afternoon,0.91,9,62.33
CUST_00136,44,Male,Columbus,865,865.27,40.96,2.31,87,Home,0,0.15,Mobile,Morning,0.37,13,40.78
CUST_00137,52,Female,Phoenix,1191,121.6,48.94,3.42,137,Beauty,1,0.46,Desktop,Morning,0.73,12,44.95
CUST_00138,18,Male,Chicago,1593,562.44,94.15,3.71,165,Clothing,1,0.26,Tablet,Morning,0.74,4,32.66
CUST_00139,52,Female,New York,650,353.11,101.64,3.08,162,Sports,2,0.15,Mobile,Morning,0.6,11,37.27
CUST_00140,54,Female,Fort Worth,327,79.24,51.96,3.21,146,Electronics,1,0.44,Desktop,Evening,0.58,10,39.03
CUST_00141,64,Male,San Jose,865,12.63,64.67,2.09,165,Clothing,2,0.19,Mobile,Evening,0.89,13,50.25
CUST_00142,31,Other,Phoenix,529,1335,95.97,4.62,119,Home,0,0.27,Tablet,Afternoon,0.5,10,73.23
CUST_00143,20,Other,Austin,1297,67.16,75.92,0.56,49,Sports,0,0.27,Desktop,Afternoon,0.6,12,37.72
CUST_00144,18,Female,Philadelphia,879,610.31,83.71,2.25,77,Sports,2,0.03,Tablet,Morning,0.98,10,38.73
CUST_00145,22,Other,Houston,1400,528.76,62.05,2.76,91,Home,0,0.26,Desktop,Afternoon,0.57,15,61.54
CUST_00146,43,Other,San Antonio,1399,209.06,113.27,2.07,161,Electronics,1,0.16,Mobile,Evening,0.86,7,28.38
CUST_00147,31,Male,Chicago,334,102.52,117.93,3.11,131,Electronics,1,0.29,Tablet,Evening,0.34,7,45.23
CUST_00148,56,Female,San Antonio,1027,98.21,93.07,1.84,60,Sports,2,0.22,Mobile,Afternoon,0.76,6,49.93
CUST_00149,44,Female,Columbus,1267,440.13,59.99,3.29,110,Beauty,1,0.45,Desktop,Morning,0.78,12,41.9
CUST_00150,26,Male,New York,1644,395.84,42.08,2.13,88,Electronics,1,0.31,Mobile,Morning,0.83,9,39.84
CUST_00151,32,Other,San Antonio,1075,1043.47,118.63,1.62,101,Electronics,2,0.27,Tablet,Afternoon,0.36,16,31.93
CUST_00152,32,Female,New York,882,510.83,83.17,1.49,136,Beauty,0,0.24,Desktop,Afternoon,0.6,11,53.18
CUST_00153,43,Other,Fort Worth,350,855.39,77.97,2.29,179,Electronics,2,0.15,Tablet,Evening,0.58,10,27.9
CUST_00154,59,Female,Austin,174,16.48,92.8,1.41,81,Beauty,2,0.39,Desktop,Morning,0.82,9,48.55
CUST_00155,30,Female,New York,116,555.84,75.68,-0.86,158,Home,1,0.66,Desktop,Evening,0.43,5,2.46
CUST_00156,68,Female,Los Angeles,1719,133.1,68.37,0.12,85,Clothing,2,0.12,Mobile,Afternoon,0.6,10,35.47
CUST_00157,49,Female,Los Angeles,361,145.74,130.4,1.51,67,Clothing,1,0.36,Tablet,Afternoon,0.7,15,64.55
CUST_00158,56,Other,Houston,1379,637.51,104.54,1.66,160,Home,0,0.42,Mobile,Morning,0.83,11,33.72
CUST_00159,66,Other,Fort Worth,1690,788.57,116.53,3.26,99,Electronics,3,0.13,Desktop,Afternoon,0.69,15,56.54
CUST_00160,69,Other,New York,1783,232.4,114.54,2.35,58,Clothing,0,0.11,Desktop,Evening,0.56,8,43.06
CUST_00161,49,Other,Houston,76,780.51,25.44,2.14,162,Home,1,0.23,Mobile,Evening,0.48,6,32.45
CUST_00162,21,Male,Los Angeles,756,293.26,95.8,1.26,12,Clothing,2,0.35,Desktop,Afternoon,0.94,9,43.94
CUST_00163,47,Female,Houston,1105,974.72,87.48,4.86,78,Electronics,3,0.58,Tablet,Afternoon,0.86,13,65.4
CUST_00164,54,Female,Houston,1253,12.61,59.62,2.02,96,Beauty,0,0.29,Mobile,Evening,0.94,9,43.12
CUST_00165,40,Female,Dallas,72,43.59,148.53,2.94,47,Home,1,0.05,Desktop,Evening,0.76,13,56.21
CUST_00166,56,Male,Dallas,1427,748.84,78.83,2.03,97,Clothing,1,0.15,Mobile,Morning,0.65,15,61.49
CUST_00167,62,Other,New York,1242,489.2,62.1,2.59,165,Electronics,0,0.15,Desktop,Morning,0.65,12,50.95
CUST_00168,32,Female,Phoenix,452,409.38,71.57,0.58,53,Clothing,0,0.27,Tablet,Afternoon,0.53,6,63.38
CUST_00169,60,Other,San Antonio,911,475.93,90.49,2.39,158,Electronics,5,0.49,Desktop,Morning,0.95,11,33.37
CUST_00170,46,Other,Houston,1779,1330.99,86.17,2.1,48,Electronics,0,0.3,Tablet,Evening,0.6,9,36.44
CUST_00171,53,Male,Jacksonville,367,532.88,61.84,2.12,149,Electronics,0,0.73,Tablet,Evening,0.63,12,32.72
CUST_00172,30,Male,Phoenix,826,521.32,96.01,3.1,156,Electronics,4,0.25,Desktop,Evening,0.86,12,43.78
CUST_00173,49,Other,Los Angeles,1614,712.46,75.84,0.41,47,Home,0,0.48,Mobile,Evening,0.79,5,24.37
CUST_00174,24,Female,Chicago,670,1007.28,68.72,1.53,91,Beauty,0,0.3,Mobile,Evening,0.79,8,45.6
CUST_00175,68,Female,San Antonio,1584,151.85,69.8,-0.07,104,Home,1,0.62,Mobile,Evening,0.94,9,44.08
CUST_00176,39,Male,San Jose,1336,479.53,45.86,1.74,24,Clothing,0,0.15,Mobile,Evening,0.72,11,63.09
CUST_00177,45,Male,Fort Worth,1322,438.5,50.84,3.1,20,Home,1,0.27,Tablet,Afternoon,0.77,14,65.56
CUST_00178,19,Male,Charlotte,1048,72.43,48.67,2.99,25,Home,2,0.19,Desktop,Morning,0.5,8,57.04
CUST_00179,59,Male,San Antonio,110,367.31,15.42,1.78,103,Clothing,2,0.04,Desktop,Afternoon,0.85,7,41.91
CUST_00180,62,Male,Houston,52,36.04,83.55,2.21,128,Beauty,0,0.35,Desktop,Afternoon,0.68,8,38.04
CUST_00181,23,Male,Jacksonville,1314,102.26,49.55,1.63,159,Home,0,0.26,Mobile,Evening,0.77,14,37.65
CUST_00182,45,Male,New York,1468,1220.71,64.68,2.05,72,Electronics,1,0.08,Tablet,Evening,0.67,8,66.42
CUST_00183,45,Female,New York,467,63.49,67.45,3.11,173,Home,1,0.18,Mobile,Evening,0.89,8,32.58
CUST_00184,61,Male,Houston,1283,432.46,50.34,3.71,4,Clothing,0,0.21,Desktop,Afternoon,0.92,10,77.37
CUST_00185,61,Male,Houston,1348,195.4,65.87,2.72,167,Beauty,1,0.37,Desktop,Afternoon,0.86,18,39.92
CUST_00186,37,Female,Philadelphia,1675,405.19,77,1.93,144,Home,1,0.33,Mobile,Afternoon,0.77,14,38.55
CUST_00187,47,Female,San Antonio,818,133.92,57.62,3.75,52,Home,0,0.04,Desktop,Morning,0.64,12,77.41
CUST_00188,28,Other,Dallas,1362,293.83,52.09,2.59,107,Clothing,1,0.41,Tablet,Morning,0.54,8,28.2
CUST_00189,45,Male,Dallas,787,1009.96,59.75,1.73,82,Sports,1,0.54,Tablet,Evening,0.59,7,29.59
CUST_00190,42,Male,San Jose,556,235.98,98.79,1.87,103,Sports,1,0.08,Mobile,Evening,0.92,3,41.05
CUST_00191,56,Male,Jacksonville,929,217.73,60.81,1.57,28,Home,2,0.29,Desktop,Afternoon,0.5,10,33.32
CUST_00192,50,Male,Charlotte,1446,295.4,79.2,2.74,114,Electronics,0,0.18,Mobile,Evening,0.77,14,59.06
CUST_00193,18,Other,Jacksonville,259,52.95,62.48,2.32,75,Home,2,0.27,Tablet,Afternoon,0.52,10,39.01
CUST_00194,44,Female,Phoenix,1649,244.98,72.34,2.22,135,Sports,1,0.6,Desktop,Evening,0.64,11,40.26
CUST_00195,69,Female,San Jose,1763,3.46,96.19,1.42,106,Home,1,0.28,Tablet,Morning,0.66,7,34.09
CUST_00196,30,Male,Austin,65,349.98,52.56,3.98,42,Electronics,0,0.05,Mobile,Morning,0.77,10,74.15
CUST_00197,58,Male,Chicago,163,941.74,130.7,1.86,142,Beauty,0,0.7,Desktop,Morning,0.95,9,50.74
CUST_00198,20,Male,Chicago,1188,401.56,83.93,3.15,161,Home,0,0.4,Tablet,Afternoon,0.66,6,36.69
CUST_00199,56,Other,Charlotte,1702,467.9,80.1,1,89,Clothing,4,0.46,Desktop,Afternoon,0.69,7,17.17
CUST_00200,23,Other,Philadelphia,39,15.52,48.78,2.54,125,Electronics,3,0.34,Mobile,Afternoon,0.64,13,47.9
CUST_00201,25,Female,New York,665,981.33,91.26,1.38,162,Home,3,0.15,Tablet,Evening,0.83,12,57.62
CUST_00202,44,Male,San Antonio,320,243.07,116.59,2.55,160,Sports,0,0.4,Tablet,Morning,0.87,11,45.85
CUST_00203,26,Male,Chicago,360,1841.5,56.11,1.2,96,Home,0,0.36,Desktop,Evening,0.83,4,36.66
CUST_00204,54,Male,Phoenix,269,64.18,49.9,0.82,20,Sports,1,0.14,Tablet,Evening,0.58,7,41.57
CUST_00205,50,Male,San Antonio,324,1447.24,76.18,1.04,146,Clothing,1,0.37,Tablet,Morning,0.44,18,53.06
CUST_00206,68,Other,San Antonio,326,502.96,49.74,0.43,95,Beauty,1,0.48,Desktop,Morning,0.73,4,30.76
CUST_00207,59,Female,Dallas,1611,26.88,63.72,1.28,0,Sports,0,0.34,Mobile,Afternoon,0.79,7,51.4
CUST_00208,61,Female,New York,257,1782.43,95.91,2.81,178,Home,0,0.26,Tablet,Evening,0.65,12,40.43
CUST_00209,41,Other,Chicago,200,6.99,119.22,1.24,160,Clothing,2,0.5,Desktop,Morning,0.77,10,33.66
CUST_00210,32,Male,Dallas,1462,655.96,97.02,1.36,25,Electronics,1,0.06,Tablet,Morning,0.63,8,56.97
CUST_00211,49,Female,San Diego,610,1101.51,53.49,2.33,169,Home,3,0.39,Desktop,Evening,0.6,15,19.98
CUST_00212,49,Female,Los Angeles,1128,96.68,68.09,0.09,53,Electronics,0,0.03,Desktop,Afternoon,0.78,17,65.05
CUST_00213,41,Other,San Diego,1396,210.31,66.27,2.68,44,Sports,0,0.16,Tablet,Morning,0.51,9,60.83
CUST_00214,58,Male,San Diego,905,411.89,77.5,1.93,154,Clothing,0,0.59,Desktop,Evening,0.75,6,13.53
